※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
スナックバス江（エピソードごとにED異なる）"
,ID,クール,オープニング_制作,オープニング_曲,エンディング_制作,エンディング_曲,その他音楽_制作,その他音楽_曲,,
,id,course,op_artist,op_song,ed_artist,ed_song,other_artist,other_song,,
,21002,1,Official髭男dism,ミックスナッツ,星野源,喜劇,,,,
,21002,2,BUMP OF CHICKEN,SOUVENIR,yama,色彩,,,,
,21041,1,YOASOBI,勇者,milet,Anytime Anywhere,,,,
,21041,2,ヨルシカ,晴る,milet,Anytime Anywhere,,,,
,21083,1,キタニタツヤ,青のすみか,崎山蒼志,燈,,,,
,21083,2,King Gnu,SPECIALZ,羊文学,more than words,,,,
,21133,1,SawanoHiroyuki[nZk]:TOMORROW X TOGETHER,LEveL,krage,request,,,,
,21147,1,BUMP OF CHICKEN,Sleep Walking Orchestra,緑黄色社会,Party!!,,,,
,21147,2,sumika,運命,リーガルリリー,キラキラの灰,,,,
,21165,1,須田景凪,ユートピア,伊東健人,My Factor,,,,
,21165,2,syudou,リヴァーサル,前田佳織里,常識外れヒューマン,,,,
,21183,1,ZAQ,マイナーピース,ニノミヤユイ,今世大革命,,,,
,21198,1,前島麻由,LOVE or HATE?,エレノーラ･ヒルローズ（CV:日高里菜）、ユミエラ･ドルクネス（CV:ファイルーズあい）,好きがレベチ,花たん,Ray of Light,,
,21212,1,waterweed,Cure,ChouCho,Green jade,,,,
,21241,1,ゆいにしお,routine life,JYOCHO,導き、捧げて,,,,
,21255,1,土岐隼一,Another Birthday,THE BINARY,消えない,,,,
,21269,1,NACHERRY,My dream girls,エノルミータ,とげとげサディスティック,,,,
,21284,1,いれいす,Brave,いれいす,夢の中で,,,,
,21298,1,JUVENILE,IMMORTAL,阿部真央,Keep Your Fire Burning,,,,
,21313,1,エリーゼ（CV.石川由依）,believer,荒井麻珠,Listen,,,,
,21326,1,鈴木愛奈,果てのない旅,丁,because,,,,
,21340,1,鬼頭明里,夢の糸,内田真礼,CHA∞IN,,,,
,21354,1,オーイシマサヨシ,なまらめんこいギャル,亜咲花,わやわやわー！,,,,
,21369,1,MADKID,FLY,大西亜玖璃,曖昧ガール,,,,
,21383,1,オトワ,太陽と踊れ月夜に唄え,石原夏織,Gift,,,,
,21397,1,shallm,まっさかさマジック！,LEEVELLES,明日は明日の風が吹く,,,,
,21411,1,そこに鳴る,相聞詩,南條愛乃,光のトリル,,,,
,21425,1,UVERworld,Eye's Sentry,紫 今,学級日誌,,,,
,21442,1,DIALOGUE＋,イージー？ハード？しかして進めっ！,DIALOGUE＋,誰かじゃないから,,,,
,21457,1,ギルドロップス,Baby love！Baby please!,,,,,,
,21471,1,Novelbright,雪の音,チョーキューメイ,snowspring,,,,
,21485,1,いゔどっと,遊歩,GLASGOW,休息充電,,,,
,21499,1,NACHERRY,My dream girls,エノルミータ,とげとげサディスティック,,,,
,21514,1,Sizuk,Lover’s Eye,AliA,ココロノナカ,,,,
,21528,1,ブレイバーン（CV：鈴村健一）,ババーンと推参！バーンブレイバーン,イサミ・アオ（CV：鈴木崚汰）／ルイス・スミス（CV：阿座上洋平）,双炎の肖像,,,,
,21542,1,声にならないよ,はじめては全部君がいい,安達 清＆黒沢優一 (CV.小林千晃・鈴木崚汰),マジカルラブ,,,,
,21556,1,神山羊,鬼灯,むﾄ,愛故,,,,
,21570,1,由薫,Rouge,ダズビー,Scarlet,,,,
,21584,1,鬼頭明里,夢の糸,内田真礼,CHA∞IN,,,,
,21598,1,DeNeel（SKID ZERO）,導火,Novel Core (B-ME),RULERS,,,,
,21613,1,澁谷果歩,ギンギンパーフェクション,,,,,,
,21623,1,MindaRyn,HIBANA,KEIKO,夕闇のうた,,,,
,21638,1,Kroi,Sesame,甲田まひる,らぶじゅてーむ,KDH ＆ Novel Core,DA PUMP,,
,21652,1,シド,面影,krage,春想,,,,
,21666,1,はしメロ,ロックオン,9Lana,雷櫻,,,,
,21666,2,みきまりあ,"バイマイダーリン feat. みきまりあ, ニト。",アユニ・D,"春紛い feat. アユニ・D, ニト。",,,,
,21680,1,水樹奈々,Turn the World,上坂すみれ,ディア・パンタレイ,,,,
,21695,1,RIRIKO,ウラオモテアクアリウム,高橋李依,オリビアを聴きながら,,,,
,21710,1,Kotoha,Cotton Days,harmoe,ふわふわpartyつられてhappy,,,,
,21724,1,鈴木愛奈,Apocalypse Day,Leola,ただいま feat. EXILE NESMIT,,,,
,21727,1,李玉剛,善念起,均均,千生煙,,,,
,21741,1,あたらよ,「僕は…」,こはならむ,恋してる自分すら愛せるんだ,,,,
,21756,1,月刊モー想科学編集部（石井孝英・山本和臣・白井悠介・土岐隼一）,オーバーサイエンてぃふぃっく！,土岐隼一,SCIENCE,,,,
,21770,1,吉武千颯,わんだふるぷりきゅあ！evolution!!,⽯井あみ＆後本萌葉,FUN☆FUN☆わんだふるDAYS！,,,,
,21770,2,吉武千颯,わんだふるぷりきゅあ！evolution!!,⽯井あみ＆後本萌葉,FUN☆FUN☆わんだふるDAYS！,,,,
,21807,1,FLOW,烈火,安田レイ,声のカケラ,,,,
,21821,1,aosaki,Try!,WIP,will,,,,
,21832,1,Cocco,飛花落花,坂本真綾,抱きしめて,,,,
,21843,1,Novelbright,雪の音,チョーキューメイ,snowspring,,,,
,21857,1,,,シンガーズハイ,ニタリ,,,,
,21872,1,meiyo,STICKER!!!,,,,,,
,21886,1,Mr.SUSHI,最強王伝説～Be your Sai-Kyo-Oh!～ (feat. サンシャイン池崎),,,,,,
,21886,2,Mr.SUSHI,最強王伝説～Be your Sai-Kyo-Oh!～ (feat. サンシャイン池崎),,,,,,
,21886,3,Mr.SUSHI,最強王伝説～Be your Sai-Kyo-Oh!～ (feat. サンシャイン池崎),,,,,,
,21900,1,V.W.P,切札,Morfonica,両翼のBrilliance,,,,
,21925,1,緑黄色社会,花になって,アイナ・ジ・エンド,アイコトバ,,,,
,21925,2,Uru,アンビバレント,wacci,愛は薬,,,,
,21951,1,神聖かまってちゃん,僕の戦争,安藤裕子,衝撃,,,,
,21951,2,SiM,The Rumbling,ヒグチアイ,悪魔の子,,,,
,21951,3,Linked Horizon,最後の巨人,ヒグチアイ,いってらっしゃい,Linked Horizon,二千年... 若しくは... 二万年後の君へ・・・,,
,21988,1,OxT,grayscale dominator,シャドウガーデンナンバーズ,Polaris in the Night,前島麻由,Everything is Changing,,
,22002,1,FZMZ,BROKEN GAMES,CHiCO,エース,,,,
,22002,2,FZMZ feat. icy,Danger Danger,ReoNa,ガジュマル ～Heaven in the Rain～,,,,
,22029,1,MADKID,SIN,藤川千愛,好きになってはいけない理由,,,,
,22043,1,石崎ひゅーい,ワスレガタキ,OKAMOTO'S,Where Do We Go?,,,,
,22043,2,清 竜人,遥か,Anly,好きにしなよ,,,,
,22067,1,結城アイラ,Semisweet Afternoon,鈴木愛奈,Lilac Melody,,,,
,22081,1,fripSide,Red Liberation,MIMiNARI,眠れない EP,,,,
,22095,1,Sou,ネロ,水瀬いのり,アイオライト,,,,
,22095,2,水瀬いのり,スクラップアート,内田雄馬,Hope,,,,
,22121,1,寺島拓篤,ヒカリハナツ,岡咲美保,ココロトラベル,,,,
,22126,1,上坂すみれ,ハッピーエンドプリンセス,カノエラナ,Queen of the Night,,,,
,22140,1,内田真礼,ラブ･ユー･テンダー！,AliA,あいことば,,,,
,22154,1,花園羽香里(CV.本渡 楓)、院田唐音(CV.富田美憂)、好本 静(CV.長縄まりあ)、栄逢凪乃(CV.瀬戸麻沙美)、薬膳楠莉(CV.朝井彩加),大大大大大好きな君へ,岬 なこ,スイートサイン,,,,
,22168,1,FLOW,GET BACK,ももすももす,6を撫でる,,,,
,22182,1,Hana Hope,消えるまで,Who-ya Extended,Prayer,,,,
,22196,1,ASCA,私が笑う理由は,Myuk,ひとりじゃないよ,,,,
,22210,1,EverdreaM,Jekyll & Hyde,EverdreaM,青の原石,,,,
,22224,1,saji,Magic Writer,岡咲美保,キボウノレシピ,,,,
,22238,1,レイ（CV.芹澤優）＆クレア（CV.奈波果林）,レイジョアハンズ!! 〜Raise Y/Our Hands!!〜,レイ（CV.芹澤優）＆クレア（CV.奈波果林）,O.C. ～Optimum Combination～,,,,
,22252,1,やなぎなぎ,命火,KOTOKO,パズル,,,,
,22266,1,女王蜂,1,八木海莉,know me...,,,,
,22266,2,シユイ,ラブコール,OKAMOTO'S,この愛に敵うもんはない,,,,
,22292,1,UNISON SQUARE GARDEN,いけないfool logic,黒子首,リップシンク,,,,
,22307,1,キタサンブラック (CV.矢野妃菜喜)、サトノダイヤモンド (CV.立花日菜)、サトノクラウン (CV.鈴代紗弓)、シュヴァルグラン (CV.夏吉ゆうこ)、サウンズオブアース (CV.MAKIKO)、ドゥラメンテ (CV.秋奈),ソシテミンナノ,キタサンブラック (CV.矢野妃菜喜)、スペシャルウィーク (CV.和氣あず未)、サイレンススズカ (CV.高野麻里佳)、トウカイテイオー (CV.Machico)、ウオッカ (CV.大橋彩香)、ダイワスカーレット (CV.木村千咲)、ゴールドシップ (CV.上田 瞳)、メジロマックイーン (CV.大西沙織),アコガレChallenge Dash!!,,,,
,22322,1,ulma sound junction,ROAR,小林私,鱗角,,,,
,22322,2,saji,感脳性リベレーション,小林私,空に標結う,,,,
,22348,1,フジファブリック,プラネタリア,Lenny code fiction,花束,,,,
,22362,1,そらるとりぶ,ユウマガドキ,Nulbarich,Skyline,,,,
,22377,1,Mili,Entertainment,中島由貴,霞の向こうへ,,,,
,22391,1,芹澤 優,JUNGLE FIRE feat. MOTSU,Himika Akaneya,Stereo Sunset (Prod. AmPm),,,,
,22405,1,南條愛乃,閃 -Sen-,やなぎなぎ,homeward journey,,,,
,22420,1,中川翔子,65535,秋里コノハ,リンク～past and future～,,,,
,22435,1,小玉ひかり,ドラマチックに恋したい,ClariS,ふぉりら,,,,
,22449,1,SennaRin,S9aiR,somei,Another Complex,,,,
,22463,1,Kroi,Hyper,KOTORI,秘密,,,,
,22477,1,水樹奈々,Sugar Doughnuts,angela,Welcome!,,,,
,22491,1,MindaRyn,Shiny Girl,シャイ/紅葉山テル（CV. 下地紫野）＆小石川惟子（CV. 東山奈央）,シリタイキモチ,,,,
,22505,1,flumpool,泣いていいんだ,久保あおい,ささくれ,,,,
,22518,1,いきものがかり,ときめき,キュア・カルテット(五條真由美、うちやえゆか、工藤真由、宮本佳那子),雫のプリキュア,,,,
,22532,1,Little Glee Monster,UP TO ME!,MOONCHILD,Friends Are For,,,,
,22532,2,JO1,Your Key,ざきのすけ。,未完成,,,,
,22571,1,花たん,First Greeting,イノー(CV:日笠陽子)、エンヤァ(CV:加隈亜衣),レゾナンス・レゾナンス,,,,
,22585,1,MYTH & ROID,ACHE in PULSE,ReoNa,R.I.P.,,,,
,22595,1,SUPER EIGHT,アンスロポス,LMYK,Perfect World,,,,
,22595,2,SUPER EIGHT,アンスロポス,中島美嘉,MISSION,,,,
,22622,1,叶,Tailwind,畠中 祐,グッドラック,,,,
,22636,1,Paradox Live All ARTISTS,RISE UP,武雷管,Every Day Every Night,BAE,FLY HIGH!!!,,
,22650,1,PathTLive,mirAI wave!,#kzn,寄花-Yosuga-,Kizuna AI,LINX,,
,22650,2,PathTLive,Perfect World!!,#kzn,じゃんけんほい！,BRT５,アスノヒカリ,,
,22676,1,,,雷土吏子,シークレット・ミッション・ラブ,,,,
,22686,1,,,八尋寧々（CV:鬼頭明里）＆もっけ（CV:吉田有里・森永千才・金澤まい）,来い！濃い恋,,,,
,22692,1,katagiri,tailwind,harmoe,Love is a potion,,,,
,22706,1,Official髭男dism,ホワイトノイズ,HEY-SMITH,Say My Name,,,,
,22721,1,MILLIONSTARS,Rat A Tat!!!,MILLIONSTARS,Welcome!!,MILLIONSTARS,セブンカウント,,
,22735,1,緋月ゆい,イケナイエトランゼ,シャーロット・エヴァンズ（CV.早見沙織）,Graceful World,,,,
,22749,1,Division All Stars,RISE FROM DEAD,Division All Stars,Next Stage,,,,
,22764,1,BACK-ON,ヒカリトカゼ,LINKL PLANET,Days of Birth,,,,
,22769,1,オーイシマサヨシ,好きになっちゃダメな人,鬼頭明里,Magie×Magie,,,,
,22784,1,伊藤美来,点と線,サンドリオン,天体図,,,,
,22798,1,さとうささら すずきつづみ,万聖街,ササノマリイ,まわりまわる,,,,
,22808,1,高橋優,雪月風花,にしな,シュガースポット,,,,
,22830,1,ELAIZA,スクラップ＆ビルド,Alisa,Bleed My Heart,,,,
,22844,1,B-PROJECT,熱烈＊ラブコール,B-PROJECT,Cinematic,キタコレ,Miracles,,
,22858,1,WEST.,AS ONE,WEST.,燃えてヒーロー,,,,
,22858,2,WEST.,ファンタジスタ,WEST.,燃えてヒーロー,,,,
,22858,3,WEST.,ハート,WEST.,燃えてヒーロー,,,,
,22886,1,Kaco,アンノウンの色彩,川越学園ボーイズ・クワイア部,Ride Out the Fall,"出井天使, a.k.a だんぼっち","Swing Low, Sweet charoit",,
,22900,1,センチミリメンタル,生きていかなくちゃ,センチミリメンタル,死んだっていい,,,,
,22912,1,Dannie May,コレクション,ヤマト（CV:梶田大嗣）、牛若（CV:森嶋秀太）、ジャック（CV:橘 龍丸）,青春☆ワチャゴナドゥ,マリア,祈り,,
,22926,1,NORISTRY,トライ・ライ・ライ,鈴木このみ,頑張れと叫ぶたび,,,,
,22940,1,,,,,UNDEAD,Resurrection of Soul,,
,22948,1,Ayumi.,pas @ pas！,かにこ（田中理恵）,Snow Ephemeral,とらこ（日高里菜）,チェスト！,,
,22977,1,,,papalion,On The Knee!,,,,
,22977,2,,,papalion,On The Knee!,,,,
,22977,3,,,papalion,On The Knee!,,,,
,23003,1,,,森山直太朗,ロマンティーク,,,,
,23029,1,,,ヨルシカ,月光浴,,,,
,23032,1,弓木英梨乃,ボーン! ボーン! ボーン!,,,,,,
,23086,1,,,松浦愛弓・有邑,全力DAYS,,,,
,23100,1,Nami Miyahara,クリプトニンジャ咲耶,,,,,,
,23127,1,サイキックラバー,TRANSFORMERS-Earthspark!!,,,,,,
,23153,1,,,,,Sing 4 Rhapsody,I Believe,,
,23159,1,GRANRODEO,TRASH CANDY,ラックライフ,名前を呼ぶよ,,,,
,23159,2,SCREEN mode,Reason Living,ラックライフ,風が吹く街,,,,
,23159,3,GRANRODEO,セツナの愛,ラックライフ,Lily,SCREEN mode,WRIGHT LEFT,,
,23159,4,SCREEN mode,TRUE STORY,ラックライフ,しるし,,,,
,23159,5,GRANRODEO,鉄の檻,ラックライフ,軌跡,,,,
,23222,1,nonoc,灯火,鈴木このみ,Secret Code,,,,
,23222,2,nonoc,楽園,sajou no hana,ニューサンス,,,,
,23248,1,キタニタツヤ,スカー,SennaRin,最果て,,,,
,23248,2,w.o.d.,STARS,神山羊,Endroll,,,,
,23276,1,りりあ。,貴方の側に。,伊東歌詞太郎,ヰタ・フィロソフィカ,,,,
,23290,1,Aimer,escalate,amazarashi,アンチノミー,,,,
,23304,1,Lezel,リセット ライフ？,Star★Shiμʼne!!!,ひみCHU★プリラブマジック,,,,
,23318,1,KANA-BOON,ソングオブザデッド,シユイ,ハピネス オブ ザ デッド,,,,
,23332,1,Omoinotake,幸せ,坂口有望,URL,,,,
,23347,1,綴,NAME,マサヨシがめがねを忘れた（小村くんと三重さんとオーイシマサヨシ）,メガネゴーラウンド,,,,
,23362,1,夢見クジラ feat. Mimizuku & Fukuro,剣花,夢見クジラ feat. Shachi Tsumugi,アイム,,,,
,23379,1,月詠み,救世主,チョーキューメイ,PRIDE,,,,
,23393,1,somei,憂う門には福来たる,asmi,破壊前夜のこと,,,,
,23408,1,ノラ from 今夜、あの街から,Chase Me,宮川愛李,タンバリンの鳴る丘,,,,
,23422,1,三月のパンタシア,ゴールデンレイ,Awkmiu,アロー,,,,
,23436,1,小林柊矢,HONEY,由薫,sugar,,,,
,23450,1,フィロソフィーのダンス,熱風は流転する,MIMiNARI,"厭わない feat. 富田美憂,市ノ瀬加那",,,,
,23464,1,大橋彩香,"Please, please!",ChouCho,twilight little star,,,,
,23478,1,sana（sajou no hana）,Brand new day,YuNi,風味絶佳,,,,
,23492,1,May’n,LIES GOES ON,SMILE PRINCESS,fakey merry game,,,,
,23506,1,ClariS,コイセカイ,ササノマリイ,トコシエスタ,,,,
,23520,1,Ayase✕R-指定,飛天,Reol,切っ先,,,,
,23520,2,菅田将暉✕東京スカパラダイスオーケストラ,るろうの形代,KID PHENOMENON,存在証明,,,,
,23546,1,BRADIO,ファンファーレ,Peel the Apple,いつものスープ,,,,
,23560,1,樋口 楓,Bravery? Naturally?,熊田茜音,Another Self,,,,
,23574,1,鈴木みのり,ミュージカル,諸星すみれ,叶える,,,,
,23574,2,中島 怜,サプライズ,東山奈央,door,,,,
,23600,1,CLASS:y,Crack-Crack-Crackle,Anna,reversal,,,,
,23615,1,halca,恋愛ミリフィルム,Amber's,エンドロール,,,,
,23629,1,luz,幽世,花澤香菜,灰色,,,,
,23629,2,luz,幽世,花澤香菜,インタリオ,,,,
,23656,1,愛美,煩悩☆パラダイス,結月(CV.愛美)、月夜(CV.芹澤優)、海月(CV.山下七海)、ミア(CV.朝日奈丸佳)、カグラ(CV.上坂すみれ),おいでませ！三日月寺,,,,
,23670,1,MADKID,One Room Adventure,ねんね,ミライ＝テレポート,,,,
,23684,1,なすお☆,バグちゃん,中島由貴,A NEW DAY,,,,
,23698,1,七海ひろき,It’s My Soul,saji,スターチス,,,,
,23698,2,愛美,HELP,カノエラナ,ヒカリ,,,,
,23724,1,中野家の五つ子 （花澤香菜・竹達彩奈・伊藤美来・佐倉綾音・水瀬いのり）,五等分の未来,中野家の五つ子 （花澤香菜・竹達彩奈・伊藤美来・佐倉綾音・水瀬いのり）,たからもの,,,,
,23728,1,早見沙織,plan,由崎司（CV：鬼頭明里）,ぐるぐるライブ,,,,
,23734,1,Aqours,幻日ミステリウム,Aqours,キミノタメボクノタメ,"ヨハネ(CV.小林愛香) / ダイヤ(CV.小宮有紗) ,ルビィ(CV.降幡 愛) , チカ(CV.伊波杏樹)",Far far away / Be as one!!!,,
,23749,1,メガテラ・ゼロ,誰が為,田所あずさ,プライベート・ルーム,,,,
,23763,1,Aile The Shota,No Frontier,GReeeeN,勿忘草,,,,
,23777,1,angela,AYAKASHI,saji,フラッシュバック,,,,
,23791,1,,,SawanoHiroyuki[nZk]:Laco,FAKEit,,,,
,23794,1,坊ちゃん（CV. 花江夏樹）＆アリス（CV. 真野あゆみ）,君とレヴュー,なすお☆,星屑レクイエム,,,,
,23808,1,MyGO!!!!!,壱雫空,MyGO!!!!!,栞,,,,
,23823,1,angela,THE BEYOND,angela,何故に..,,,,
,23837,1,,,TRUE,アンサンブル,,,,
,23840,1,,,MAO,whisper,,,,
,23864,1,,,花楓＆かえで(CV:久保ユリカ),不可思議のカルテ 花楓＆かえで Ver.,,,,
,23867,1,HiHi Jets,純情ウォーアイニー,7 MEN 侍,さよならまたねもうちょっと,,,,
,23882,1,Organic Call,呼ぶ声が鳴る方角へ,LINKL PLANET,l'll Be There,,,,
,23890,1,其原有沙,鳴らせ!むじなシンフォニー,六科なじむ(CV: 日高里菜) ∧ Neko Hacker,オ・ヒ・メ・サ・マ！,,,,
,23905,1,Lanndo feat. 須田景凪,心眼,黒羽アリス（小倉唯）,マイターン,,,,
,23905,2,Lanndo feat. 須田景凪,心眼,黒羽アリス（小倉唯）,マイターン,,,,
,23905,3,NEWS,Tick-Tock,超ときめき♡宣伝部,STAR,,,,
,23905,4,NEWS,Tick-Tock,超ときめき♡宣伝部,STAR,,,,
,23905,5,Half time Old,灯火,OCHA NORMA,シェケナーレ,,,,
,23905,6,Half time Old,灯火,OCHA NORMA,シェケナーレ,,,,
,23981,1,,,クジラ夜の街,マスカレードパレード,,,,
,23996,1,猫戦,もちもち,,,,,,
,24024,1,GYROAXIA,The last resort,青木陽菜,BLUE BUD,,,,
,24039,1,YOASOBI,アイドル,女王蜂,メフィスト,,,,
,24052,1,YOASOBI,祝福,シユイ,君よ　気⾼くあれ,,,,
,24052,2,yama,slash,アイナ・ジ・エンド,Red:birthmark,,,,
,24079,1,岡崎体育,Knock Out,フィロソフィーのダンス,シュークリーム・ファンク,,,,
,24079,2,Creepy Nuts,Bling-Bang-Bang-Born,私立恵比寿中学,トーキョーズ・ウェイ！,,,,
,24105,1,MAN WITH A MISSION × milet,絆ノ奇跡,milet × MAN WITH A MISSION,コイコガレ,椎名豪 featuring 中川奈美,竈門禰豆子のうた,,
,24118,1,KANA-BOON,ぐらでーしょん feat. 北澤ゆうほ,清 竜人,トリック・アート,,,,
,24133,1,Machico,STAY FREE,めぐみん(CV:高橋李依)、ゆんゆん(CV:豊崎愛生),JUMP IN,,,,
,24147,1,月詠み,逆転劇,スガ シカオ,ハチミツ,,,,
,24162,1,内田彩,Preview,ナナランド,七色の絵の具で,,,,
,24176,1,花澤香菜,ドラマチックじゃなくても,DIALOGUE+,かすかでたしか,,,,
,24190,1,来栖りん,I wish,ミタマ(cv.鬼頭明里),Steppin' Up Life!,,,,
,24204,1,Novelbright,Cantabile,『ユイカ』,夕さりのカノン feat.『ユイカ』,,,,
,24230,1,須田景凪,メロウ,逢田梨香子,ハナウタとまわり道,,,,
,24244,1,オーイシマサヨシ,死んだ！,久保ユリカ,可愛くって意地悪しちゃう,,,,
,24258,1,ナナヲアカリ,奇縁ロマンス,Cody・Lee(李),おどる ひかり,,,,
,24272,1,音莉飴,運命共同体！,佐藤ミキ,ドラマチック,鳳凰寺 紅葉（CV：瀬戸麻沙美）,Inserted Song By Akane Hououji,,
,24286,1,TrySail,華麗ワンターン,VALIS,無窮プラトニック,TrySail,Follow You！,,
,24299,1,Neko Hacker,刹那の誓い（feat.由崎司）,由崎司（CV：鬼頭明里,夜のかたすみ,,,,
,24313,1,藤川千愛,愛の歌,Dizzy Sunfist,Decided,,,,
,24327,1,和氣あず未,キミトノミライ,ユナ（CV:河瀬茉希）,ずっと,,,,
,24341,1,秘密結社ニルヴァージュ∀,Continue Distortion,メイビーME,Be ambitious!!!,,,,
,24355,1,MindaRyn,SURVIVE,SERRA,Always and Forever,,,,
,24369,1,BIN,朔の贄,GARNiDELiA,ONLY,,,,
,24369,2,Hinano,LOVE INFINITY,katagiri,call your name,,,,
,24395,1,松本千夏,となりあわせ,五色しおり（CV.和久井 優）,Near Stella,,,,
,24409,1,aiko,いつ逢えたら,Homecomings,ラプス,,,,
,24424,1,Gemstone7 （小嶋 凛、紗乃ひお、堤 雪菜、春咲 暖、広瀬ゆうき、福緒 唯、星希成奏）,リアルダイヤモンド,ユミナ、エルゼ、リンゼ、八重、スゥ、リーン、ルーシア、ヒルデガルド、桜 【CV】高野麻里佳、内田真礼、福緒 唯、赤﨑千夏、山下七海、上坂すみれ、高木美佑、芹澤 優、久保田未夢,イセカイジュエリー,,,,
,24438,1,近藤玲奈,アルコルとポラリス,Kitri,ココロネ,,,,
,24452,1,ヨルシカ,斜陽,こはならむ,数センチメンタル,,,,
,24466,1,小倉 唯,秘密♡Melody,白鷺陽芽（CV：小倉　唯）&綾小路美月（CV：上坂すみれ）,夢が覚めても,,,,
,24479,1,U149,Shine In The Sky☆,U149,よりみちリトルスター,市原仁奈（久野美咲）,みんなのきもち,,
,24493,1,asmi feat. Chinozo,ドキメキダイアリー,リコ（鈴木みのり）とロイ（寺崎裕香）,RVR〜ライジングボルテッカーズラップ〜,,,,
,24493,2,asmi feat. Chinozo,ドキメキダイアリー,リコ（鈴木みのり）とロイ（寺崎裕香）,RVR〜ライジングボルテッカーズラップ〜,,,,
,24493,3,yama × ぼっちぼろまる,ハロ,リコ（鈴木みのり）とロイ（寺崎裕香）,RVR〜ライジングボルテッカーズラップ〜,,,,
,24493,4,yama × ぼっちぼろまる,ハロ,リコ（鈴木みのり）とロイ（寺崎裕香）,RVR〜ライジングボルテッカーズラップ〜,,,,
,24493,5,IVE,Will,9Lana,Let me battle,,,,
,24540,1,超学生,スペースキャットビッグバン,DIALOGUE＋,にゃんぼりーdeモッフィー!!,,,,
,24554,1,愛美,MAGICAL DESTROYER,The 13th tailor,Gospelion in a classic love,,,,
,24568,1,PEOPLE 1,GOLD,Aimer,あてもなく,,,,
,24580,1,鈴木愛奈,Dash and Go!,堀内まり菜,Just a little bit,,,,
