※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
,24594,1,Smewthie,Cat!!してSuperGirls,Smewthie,トキメキ☆イチゴいちえ,,,,
,24594,2,Smewthie,めがもるふぉ～ぜ♡,Smewthie,Can-do Dreamer,,,,
,24620,1,西川貴教,Never say Never,ASCA,リンネ,,,,
,24620,2,Tani Yuuki,械物,ロザリーナ,my star,,,,
,24647,1,sumika,Starting Ove,miwa,ハルノオト,,,,
,24647,2,BLUE ENCOUNT,アマリリス,Little Glee Monster,今この瞬間を,,,,
,24673,1,宮野 真守,Quiet explosion,内田 雄馬,Salt & Sugar,,,,
,24687,1,鳳 ここな（CV.石見舞菜香）/静香（CV.長谷川育美）/カトリナ・グリーベル（CV.天城サリー）/新妻八恵（CV.長縄まりあ）/柳場ぱんだ（CV.大空直美）/流石知冴（CV.佐々木李子）,ワナビスタ！,鳳 ここな（CV.石見舞菜香）/静香（CV.長谷川育美）,トゥ・オブ・アス,鳳 ここな（CV：石見舞菜香）/ 新妻 八恵（CV：長縄まりあ）,Masquerade,,
,24701,1,BiSH,innocent arrogance,ASOBI同盟,誰も彼も何処も何も知らない,,,,
,24716,1,汤幻月,今天开始做明星,金天,那个我,,,,
,24731,1,広瀬香美,Venus Line,月詠み,ヨダカ,illiomote,Take a chance,,
,24745,1,EverdreaM,ENDLESS LABYRINTH,THE RAMPAGE,Love Will Find A Way,,,,
,24759,1,漣蒼士(CV.中島ヨシキ),Virgin Moonlight,,,,,,
,24769,1,fhána,Runaway World,AB6IX,Fly Away,,,,
,24769,2,fhána,Runaway World,Wienners,TOP SPEED,,,,
,24769,3,fhána,Runaway World,Mr.ふぉるて,克己心,,,,
,24769,4,fhána,Runaway World,TEMPEST,Baddest Behavior,,,,
,24769,5,fhána,Runaway World,ICEx,ビリミ,,,,
,24769,6,fhána,Runaway World,AXXX1S,大変でエスケープ(^o^)/,,,,
,24820,1,野田愛実,奇想天外ふしぎをどうぞ,KOCHO,はにゃ○満点、銭天堂。,,,,
,24854,1,UNISON SQUARE GARDEN,kaleido proud fiesta,ano,AIDA,,,,
,24854,2,UNISON SQUARE GARDEN,kaleido proud fiesta,向井太一,Pilot,,,,
,24880,1,,,,,旧fine,Genuine Revelation,,
,24888,1,浦島坂田船,SHINY,月見里和哉（内田雄馬）＆多岐瀬響（逢坂良太）,New frame,,,,
,24901,1,,,虹ヶ咲学園スクールアイドル同好会,"SINGING, DREAMING, NOW!",虹ヶ咲学園スクールアイドル同好会,Go Our Way！,,
,24904,1,UC,さあいくぞ！アニアキングダム,,,,,,
,24945,1,伊勢大貴,ププッとフムッとかいけつダンス,,,,,,
,24962,1,"ぐんまちゃん(CV:高橋花林),あおま(CV:内田彩),みーみ(CV:小倉唯)",SWITCH！,今村麻莉愛（HKT48）,Happy,,,,
,25075,1,ササキトモコ,ゴー！ゴー！びーくるずーのうた,,,,,,
,25075,2,ササキトモコ,ゴー！ゴー！びーくるずーのうた,,,,,,
,25103,1,,,,パズドラマーチ,,,,
,25103,2,,,,パズドラマーチ,,,,
,25103,3,,,,パズドラマーチ,,,,
,25103,4,,,,パズドラマーチ,,,,
,25157,1,ダン・クーソー（高橋李依）、ドラゴノイド（武内駿輔）,PLANET HERO,上月せれな,爆裂ハイジャンプ！,,,,
,25172,1,sajou no hana,天灯,早見沙織,Guide,,,,
,25172,2,早見沙織,視紅,sajou no hana,切り傷,,,,
,25196,1,純情のアフィリア,この盾に、隠れます。,FRAM,Step for Joy,,,,
,25210,1,オーイシマサヨシ,ギフト,椎名真昼（CV.石見舞菜香）,小さな恋のうた,椎名真昼（CV.石見舞菜香）,愛唄,,
,25224,1,花たん,アルカンシェル,アニスフィア・ウィン・パレッティア（CV：千本木彩花）、ユフィリア・マゼンタ（CV：石見舞菜香）,Only for you,,,,
,25238,1,angela,RECONNECTION,イーファ(CV.和氣あず未)×アミュ(CV.稗田寧々)×メイベル(CV.鬼頭明里),リンク,Sou,月夜のタクト,,
,25253,1,AUO feat. MORISAKI WIN,DAY1,ゆいにしお,セルフハグ・ビッグラヴ,,,,
,25267,1,えなこ feat.P丸様。,アイデン貞貞メルトダウン,ONIMAI SISTERS（高野麻里佳・石原夏織・金元寿子・津田美波）,ひめごと＊クライシスターズ,,,,
,25281,1,Teary Planet,kaleidoscope,konoco,ひだまりの彩度,,,,
,25295,1,AYAME（from AliA）,Dystopia,内田真礼,ラウドヘイラー,,,,
,25309,1,Hinano,CHANGEMAKER,鬼頭明里,Dear Doze Days,,,,
,25323,1,カノエラナ,ヨトギバナシ,宮野真守,Invincible Love,,,,
,25337,1,土岐隼一,Glorious World,阿部真央,Never Fear,,,,
,25351,1,前田佳織里,光ったコインが示す方,YABI×YABI,やっぱりエコノミー,,,,
,25365,1,ダズビー,イビツナコトバ,Anna,花のように,,,,
,25379,1,マハラージャン,くらえ！テレパシー,相沢 智（CV.高橋李依）・群堂みすず（CV.日高里菜）・キャロル・オールストン（CV.天城サリー）,yurukuru＊love,,,,
,25394,1,佐久間貴生,FROZEN MIDNIGHT,Nowlu（ノウル）,リナリア,,,,
,25408,1,ナノ,Evolution,山崎エリイ,Adore me,,,,
,25422,1,Van de Shop,贅沢な匙,内田雄馬,Happy-go-Journey,,,,
,25436,1,ラックライフ,℃,丁,ヒトミナカ,,,,
,25451,1,ルールーシー＝ルー（CV.下地 紫野）＆ティア（CV.洲崎 綾),Flower Ring,緋月ゆい,Feel the winds,,,,
,25465,1,Ayase,SHOCK!,DURDN,My Plan,,,,
,25479,1,MindaRyn,Way to go,田所あずさ,ドラム式探査機,,,,
,25492,1,ARCANA PROJECT,恋衣,TRUE,rebind,,,,
,25506,1,FIVE NEW OLD,Trickster,めいちゃん,スクワッド！,,,,
,25506,2,FIVE NEW OLD,Showdown,Raon,白昼夢,,,,
,25532,1,斉藤朱夏,僕らはジーニアス,Amber’s,buddy,,,,
,25546,1,NIGHTMARE,With,Muvidat,群青,,,,
,25560,1,PENGUIN RESEARCH,変幻自在,遥海,名もない花,,,,
,25574,1,Kvi Baba,TOMBI,Salyu × haruka nakamura,星のクズ α,,,,
,25588,1,上坂すみれ,LOVE CRAZY,長瀞さん（CV.上坂すみれ）、ガモちゃん（CV.小松未可子）、ヨッシー（CV.鈴木愛奈）、桜（CV.井澤詩織）,MY SADISTIC ADOLESCENCE♡,,,,
,25601,1,Official髭男dism,ホワイトノイズ,ツユ,傷つけど、愛してる。,,,,
,25616,1,福山 潤,NEW DRAMA PARADISE,TRD,Cozy Crazy PARTY!,,,,
,25630,1,レトベア（unknown Vo：O2）,ダウンタイマー,坂本真綾,un_mute,,,,
,25644,1,中島美嘉,Beyond,橋本裕太,愛を知っている,,,,
,25658,1,秋田知里,The story so far,中川奈美,proud hero,,,,
,25671,1,石井あみ,ひろがるスカイ！プリキュア ～Hero Girls～,石井あみ・吉武千颯,ヒロガリズム,,,,
,25671,2,石井あみ,ひろがるスカイ！プリキュア ～Hero Girls～,石井あみ・吉武千颯,ヒロガリズム,,,,
,25671,3,石井あみ,ひろがるスカイ！プリキュア ～Hero Girls～,吉武千颯,Dear Shine Sky,,,,
,25671,4,石井あみ,ひろがるスカイ！プリキュア ～Hero Girls～,吉武千颯,Dear Shine Sky,キュアスカイ（関根明良）、キュアプリズム（加隈亜衣）、キュアウィング（村瀬歩）、キュアバタフライ（七瀬彩夏）、キュアマジェスティ（古賀葵）,ヒロガリズム 〜Precure Quintet Ver.〜,,
,25723,1,Subway Daydream,Stand By Me,青葉西高校柔道部,いっぽんみち,,,,
,25738,1,橋本みゆき、榊原ゆい、Rita with AiRI、Ayumi.、片霧烈火、川村ゆみ、佐咲紗花、Duca、中恵光城、のみこ、美郷あき、yozuca*、rino、riya(eufonius),逆境☆不惑☆フラクション,犬飼加恋（CV. 会沢紗弥）＆猫谷ミケ（CV. 相良茉優）＆月城うさぎ（CV. 小坂井祐莉絵）,レッツゴー・マイ・ハウス!!!,,,,
,25754,1,森久保祥太郎,HYSTERIC CARAVAN,渕上 舞,ファンタジック・パートナー,,,,
,25767,1,ヨルシカ,テレパス,GReeeeN,ジュブナイル,,,,
,25780,1,KNoCC,LOVE NO HATE,KNoCC、STAND-ALONE,インヴィジブル -one heart-,,,,
,25794,1,,,高崎三奈美(みなみお姉さん)CV.北見六花,サイダーみたいな恋をして,,,,
,25804,1,UniteUp!,Unite up!,KIKUNOYU,いいの,PROTOSTAR,吠えろ！クロスファイヤー（PROTOSTAR ver.）,,
,25818,1,Lyrical Lily,Maihime,愛本りんく(CV：西尾夕香)、山手響子(CV：愛美)、出雲咲姫(CV：紡木吏佐)、瀬戸リカ(CV：平嶋夏海)、青柳 椿(CV：加藤里保菜)、桜田美夢(CV：反田葉月),Around and Around,,,,
,25831,1,,,虹ヶ咲学園スクールアイドル同好会,わちゅごなどぅー,,,,
,25845,1,アヌビス(CV:下野 紘)、トト(CV:梶 裕貴),コシャリズム,,,,,,
,25856,1,家入レオ,嘘つき,坂本真綾,まだ遠くにいる,,,,
,25868,1,The Struts,PEGASUS SEIYA,The Struts,SOMEBODY NEW,,,,
,25882,1,,,星北ヒナノ（土屋李央）、西条リリア（鈴木杏奈）、東坂ミオ（小倉唯）、南曜スバル（日向未南）,Starlight challenge,星北ヒナノ（土屋李央）,Wish upon a polestar,,
,25891,1,すとぷり,Accelerate,Argonavis feat. 旭那由多(小笠原仁) from GYROAXIA,Re-raise,,,,
,25904,1,,,angela,Start again,,,,
,25907,1,,,LUCY IN THE ROOM,Met,,,,
,25921,1,,,かずき山盛り,BBMonster,,,,
,25936,1,ALI,Professionalism feat.般若,梅田サイファー,Odd Numbers,,,,
,25936,2,梅田サイファー,スイッチ,ALI,BEYOND feat. MaRI,,,,
,25948,1,なとり,絶対零度,Young Kee,無敵,,,,
,25960,1,伊藤美来,Now On Air,歌種やすみ(CV：伊藤美来)&夕暮夕陽(CV：豊田萌絵),STAND BY YOU,,,,
,25971,1,フェンリース（CV：釘宮理恵）,旦那様とのラブラブ・ラブソング,DIALOGUE＋,ユートピア学概論,,,,
,25982,1,シャイニーカラーズ,ツバサグラビティ,アンティーカ,バベルシティ・グレイス,アルストロメリア,アルストロメリア,,
,25994,1,樋口楓,キュンリアス,熊田茜音,ハッピーの秘訣,,,,
,26007,1,Pii,お化けライオンひまわり,久保あおい,イロノナカ,,,,
,26019,1,蒼井翔太,EVOLVE,愛美,メリトクラシー,,,,
,26031,1,伊勢大貴,ププッとフムッとかいけつダンス,,,,,,
,26040,1,野田愛実,奇想天外ふしぎをどうぞ,KOCHO,はにゃ○満点、銭天堂。,,,,
,26050,1,音羽-otoha-,狂信者のパレード -The Parade of Battlers,シド,贖罪,,,,
,26061,1,P丸様。,ぜんりょくじょしかくめい！,青空ひまり（藤寺美徳）、星川みつき（平塚紗依）,ひみつだけどね,,,,
,26073,1,FANTASTICS,Sugar Blood Kiss,美人ver.：山本美人 (CV.市ノ瀬加那) ルカver.：早乙女ルカ (CV.土岐隼一) 蓮ver.：二階堂 蓮 (CV.梅原裕一郎),また あした,,,,
,26085,1,,,一姫（cv.内田真礼）、二階堂美樹（cv.斎藤千和）、かぐや姫（cv.伊瀬茉莉也）、八木唯（cv.小清水亜美）,カンカン姫姫,,,,
,26094,1,Sexy Zone,君のせい,ミイナ・オカベ,エヴリー・セカンド,,,,
,26106,1,Saucy Dog,poi,志方あきこ,とこしえ,,,,
,26118,1,,ゴジラのテーマ,,宇宙大戦争,,,,
,26143,1,TRUE,ReCoda,"北宇治カルテット［黄前久美子(CV.黒沢ともよ), 加藤葉月(CV.朝井彩加), 川島緑輝(CV.豊田萌絵), 高坂麗奈(CV.安済知佳)］",音色の彼方,,,,
,26155,1,いきものがかり,運命ちゃん,CHiCO,fam!,,,,
,26155,2,fripSide feat. Yoshino Nanjo,Secret Operation,ASOBI同盟,結婚行進曲,,,,
,26167,1,白鯊JAWS,VORTEX,飯卡 白鯊JAWS,THE TIDES,,,,
,26179,1,,,HACHI,Dusk,,,,
,26191,1,Sacra e sole,羽ばたけ,TOKYO GROOVE JYOSHI featuring 大井とんぼ（CV：はやしりか）,Let’s Swing,,,,
,26202,1,,,,パズドラマーチ,,,,
,26214,1,MA55IVE THE RAMPAGE,Wild Boy,Crab 蟹 Club,バイラルハック,,,,
,26226,1,ささきいさお,宇宙戦艦ヤマト,平原綾香,愛は今も光,ささきいさお,ヤマト!! 新たなる旅立ち,,
,26234,1,キミのね,レイドバックジャーニー,亜咲花,So Precious,,,,
,26246,1,CHANSUNG(2PM) & AK-69 feat. CHANGMIN(2AM),Into the Fire,EverdreaM,運命,,,,
,26258,1,The Brow Beat,ワカラナイアイ,山本彩,ブルースター,,,,
,26269,1,Hana Hope,旅のゆくえ,ClariS,アンダンテ,,,,
,26269,2,Aimer,Sign,音莉飴,りんごと君,,,,
,26280,1,,,虹ヶ咲学園スクールアイドル同好会,虹ヶ咲学園校歌（Rock Ver.）,,,,
,26292,1,降幡 愛（Purple One Star）,ホホエミノオト,豪徳寺ミラ（CV.内田真礼）、宮坂拓己（CV.斉藤壮馬）,ココロのカギ,,,,
,26304,1,INI,Whatever Happens,三日月宗近（CV:鳥海浩輔） 山姥切国広（CV:前野智昭） 宗三左文字（CV:泰 勇気） 不動行光（CV:阪口大助） へし切長谷部（CV:新垣樽助） 薬研藤四郎（CV:山下誠一郎） 江雪左文字（CV:佐藤拓也） 小夜左文字（CV:村瀬 歩） 一期一振（CV:田丸篤志） 鯰尾藤四郎（CV:斉藤壮馬） 燭台切光忠（CV:佐藤拓也） 鶴丸国永（CV:斉藤壮馬）,DAYBREAK,,,,
,26314,1,LiSA,Shouted Serenade,八木海莉,recall,三月のパンタシア,スノーノワール,,
,26326,1,佐々木李子,Windshifter,伊東泉(CV.川村海乃)、平塚ナナ(CV.葵あずさ)、弥彦巫子(CV.長谷川玲奈)、那古屋紗智(CV.北守さいか)、高松絹早(CV.杉山里穂)、熊本愛(CV.日向未南),Override!,,,,
,26337,1,Lenny code fiction,SEIEN,ももすももす,エソア,,,,
,26337,2,BURNOUT SYNDROMES×東山奈央,魔王,楠木ともり,シンゲツ,,,,
,26359,1,MADKID,ふたつのことば,谷本貴義,つなぎあい,,,,
,26370,1,トゲナシトゲアリ,雑踏、僕らの街,トゲナシトゲアリ,誰にもなれない私だから,ダイヤモンドダスト,空の箱,,
,26382,1,KyoungSeo,運命線で抱きしめて,大橋 彩香,美味しいセレナーデ,,,,
,26385,1,水樹奈々,ADRENALIZED,SCANDAL,ファンファーレ,,,,
,23905,7,ナノ,Do or Die,LIL LEAGUE,HEAVY GAMER,,,,
,23905,8,ナノ,Do or Die,LIL LEAGUE,HEAVY GAMER,,,,
,26418,7,TK from 凛として時雨,誰我為,Omoinotake,蕾,,,,
,26426,1,小倉 唯,君色のキセキ,サンドリオン,Sunny Canvas,,,,
,26437,1,STEREO DIVE FOUNDATION,PEACEKEEPER,来栖りん,Believer,,,,
,26437,2,ももいろクローバーZ,レナセールセレナーデ,MindaRyn(マイダリン),Miracle soup,,,,
,26449,1,YUNGBLUD,Abyss,OneRepublic,Nobody,,,,
,26460,1,川崎鷹也,Stardust Memory,上白石萌音,スピカ,オレオレオナ,Swallow,,
,26472,1,澤野弘之,IVORY TOWER feat.SennaRin,水槽,ランタノイド,,,,
,26488,1,カノエラナ,イロドリ,ツルシマアンナ,1日は25時間。,JELEE,カラフルムーンライト（ギターアレンジver.）,,
,26500,1,Sou,世界を射抜いて,岡咲美保,カナタボシ,,,,
,26511,1,SSGIRLS（歌：笹倉かな）,Follow your arrows,木野ひまり（CV：嶋野花）,ギフティ,,,,
,26521,1,GRe4N BOYZ,閃光ハヤブサ,meiyo,HOPE!HOPE!HOPE!,,,,
,26533,1,キタニタツヤ,次回予告,ナナヲアカリ,正解はいらない,,,,
,26543,1,なすお☆,シネマティックパレード,アリス（CV.真野あゆみ）,エトワールメモワール,,,,
,26554,1,The Struts,PEGASUS SEIYA,The Struts,SOMEBODY NEW,,,,
,26567,1,MY FIRST STORY × HYDE,夢幻,HYDE × MY FIRST STORY,永久 -トコシエ-,,,,
,26574,1,TRUE,ブルーデイズ,リシア・プレイド（花澤香菜）,Finally,,,,
,26586,1,LONGMAN,spiral,大原ゆい子,ムスビメ,シルフィエット（茅野愛衣）,花咲み,,
,26586,2,ヒトリエ,オン・ザ・フロントライン,大原ゆい子,守りたいもの,ナナホシ（若山詩音）,ツバサ,,
,26610,1,アビドス高等学校対策委員会,青春のアーカイブ,アビドス高等学校対策委員会,真昼の空の月,,,,
,26622,1,,,アレク(CV. 柊三太)・ロニール(CV.春男児),Colorful Fairytale,,,,
,26632,1,和ぬか,ギフにテッド,名誉伝説,今晩の喧嘩,,,,
,26648,1,AliA,NewGame,立花日菜,I'm GAME!,,,,
,26661,1,中島怜,GA-TAN GO-TON,ロクデナシ,ユリイカ,大渕野々花,黒豹便のテーマ,,
,26674,1,丁,呼び声,Arika,blan_,,,,
,26686,1,遊遊,ハザードシンボル,大渕野々花,朱く染めて心臓,,,,
,26697,1,Machico,Growing Up,アクア（CV：雨宮天）、めぐみん（CV：高橋李依）、ダクネス（CV：茅野愛衣）,あの日のままのぼくら,,,,
,26709,1,富田美憂,Paradoxes,sweet ARMS,ヒトヒラ,,,,
,26721,1,ライラック,Mrs. GREEN APPLE,忘レナ唄,マカロニえんぴつ,,,,
,26732,1,コレサワ,君がおじいちゃんあたしがおばあちゃん,正蔵（CV:三木眞一郎）＆イネ（CV:能登麻美子）,添い遂げYO-YO!!,,,,
,27072,1,米津玄師,KICK BACK,ano,ちゅ、多様性。,マキシマム ザ ホルモン,刃渡り２億センチ,,
,27101,1,7ORDER,Growing up,ポップしなないで,ローリンソウル・ハッピーデイズ,,,,
,27058,1,結束バンド,青春コンプレックス,結束バンド,Distortion!!,結束バンド,光の中へ,,
,27115,1,高橋李依,共感されなくてもいいじゃない,ACCAMER,ノミック,,,,
,27129,1,UNISON SQUARE GARDEN,カオスが極まる,仲村宗悟,WINNER,,,,
,27129,2,ASH DA HERO,Judgement,UNISON SQUARE GARDEN,Numbness like a ginger,,,,
,27155,1,SUPER BEAVER,ひたむき,秋山黄色,SKETCH,,,,
,27450,1,慈輝月学園キャンプ部(廣田 もも、藤森 楓、白河 夏海),エイチ・ビー/Harem Beat,,,,,,
,27182,1,"美波, SAKURAmoti",アイウエ,"花譜, ツミキ",トウキョウ・シャンディ・ランデヴ,,,,
,27182,2,"asmi, すりぃ",アイワナムチュー,"yama, ニト",アイタリナイ,,,,
,27460,1,GARNiDELiA,幻愛遊戯,Hinano,ヴァージニア,,,,
,27207,1,鈴木雅之 feat. 高城れに,Love is Show,鈴木愛理,heart notes,halca,ロマンティックマニフェスト,,
,27475,1,ALI,NEVER SAY GOODBYE feat. Mummy-D,THE SPELLBOUND,すべてがそこにありますように。,,,,
,27213,1,とんとことんスタッフ一同,メイド大回転,万年嵐子,冥途の子守唄,,,,
,27490,1,平沢進,Aria,中島美嘉,Wish,,,,
,27588,1,,,安部美奈子,そばにいて,,,,
,27227,1,Ayumu Imazu,HONEYCOMB,NCT 127,Sunny Road,,,,
,27505,1,MOB CHOIR,1,MOB CHOIR,コバルト,,,,
,27519,1,ヰ世界情緒,暮れなずむ約束,Hilcrhyme,コイゴコロ,,,,
,27633,1,Gentlemen,Dreamy Life,Story of Love,FRIENDS,永久少年,Eternal,,
,27533,1,ハンブレッダーズ,光,黒子首,おぼえたて,,,,
,27547,1,,,ウオッカ（大橋彩香）、ダイワスカーレット（木村千咲）、ツルマルツヨシ（青山吉能）、シンボリクリスエス（春川芽生）、タニノギムレット（松岡美里）,ゆるパカHAPPY DAYS!,,,,
,27573,1,VAZZY,Fly High,眞宮孝明（新垣樽助）,Follow Me,SolidS,運命を越える”Venga”,,
,27659,,"JAM Project,栗林みな実",暁を撃て,V.W.P,再会,,,,
,27673,2,松浦航大,英雄のうた,小林マナ,迷える羊たちの挽歌,,,,
,27690,2,蒼井翔太,Endless Love,ポプ子(CV:大須賀純)、ピピ美(CV:高橋広樹),仲良ピース(男性Ver.),,,,
,27704,1,すとぷり,ニジイロヒストリー,すとぷり,STPRQUEST,,,,
,27746,1,ななひら,ぷにぷにぷにるんず ぷにックスバージョン,,,,,,
,27253,1,女王蜂,MYSTERIOUS,krage,夏の雪,,,,
,27267,1,宇多田ヒカル,PINK BLOOD,浜渦正志,Roots,,,,
,27289,1,FANTASTICS from EXILE TRIBE,ギリギリRide it out,水曜日のカンパネラ,鍋奉行,,,,
,27313,1,岸田教団＆THE明星ロケッツ,転生したら剣でした,黒崎真音,more<STRONGLY,,,,
,27327,1,ReoNa,Alive,Doul,BE ME,,,,
,27337,2,04 Limited Sazabys,Keep going,Novelbright,PRIDE,,,,
,27364,1,NACHERRY,エクリプス,リッカ(CV.⽥中ちえ美)、千代(CV.村上奈津実)、関根(CV.佐倉綾⾳)、翼(CV. 潘めぐみ),For 4 Forever,,,,
,27377,1,潟女DIY部!!,どきどきアイデアをよろしく！,せるふとぷりん,続く話,,,,
,27391,2,IDOLiSH7,THE POLiCY,ŹOOĻ,IMPERIAL CHAIN,,,,
,27423,1,龍玄とし,時雨,"C2機関""1MYB""",未来,,,,
,27433,1,ヰ世界情緒,暮れなずむ約束,Hilcrhyme,コイゴコロ,,,,
,27447,1,由崎司（鬼頭明里）,Tsukasa's♪ Kitchen,カノエラナ,月と星空,,,,
,27086,1,MADKID,Change The World,高野麻里佳,LOVE&MOON,,,,
,27809,1,Eve,スイートメモリー,ammo,意解けない,,,,
,27813,1,PassCode,WILLSHINE,シャイ/紅葉山テル (CV.下地紫野)＆小石川惟子 (CV.東山奈央),そばにいるよ,,,,
,28141,1,ビバラッシュ,エンペラータイム,弌誠,GAME OVER,,,,
,6887,8,奥井雅美 /矢吹俊郎,曖昧さ、幸福論,,,,,,
,28106,1,YOASOBI,UNDEAD,,,千石撫子（花澤香菜）、斧乃木余接（早見沙織）,caramel ribbon cursetard,,
,28112,1,coldrain,VENGEANCE,,,,,,
,28120,1,アーリャ（CV：上坂すみれ）,1番輝く星,,学園天国,,,,
,28128,1,GEMN,ファタール,羊文学,Burning,,,,
,28136,1,七海 うらら,感情革命ロックンロール,Crimson Crat Clan,King‘s Choice,,,,
,28155,1,超学生,Hazure,Hakubi,pray,,,,
,28169,1,桜木舞華 【ウタヒメドリーム】（鈴木杏奈）,AMBITION,ウタヒメドリーム オールスターズ,ノーギフテッド,,,,
,28182,1,SWEET REVENGE,Might Just,Nornis,夜が明けるまで,,,,
,28199,1,fhána,天使たちの歌,Kitri,水槽のブランコ,,,,
,28213,1,ときのそら,おかえりなさい,清水美依紗,Wave,,,,
,23290,2,LiSA,ブラックボックス,GEMS COMPANY,灰ト祈リ,,,,
,28239,1,TrySail,マイクロレボリューション,ナナヲアカリ,ブループリント,,,,
,28253,1,めいちゃん,シャッターチャンス,天乃リリサ (cv.前田佳織里)・橘 美花莉 (cv.鬼頭明里),Watch Me,,,,
,28267,1,REAL AKIBA BOYZ loves 田口華有＆AiRyA from REAL AKIBA BAND,フライド☆プライド,でも食べ隊,みんなDEダイエット,,,,
,28293,1,すとぷり,宿命,MyGO!!!!!,端程山,,,,
,28306,1,Liyuu,No Complete,NACHERRY,LOOP,,,,
,28321,1,宮野真守,The Battle,,,,,,
,28336,1,いきものがかり,晴々！,Little Glee Monster,ORIGAMI,,,,
,28351,1,meiyo,STICKER!!!,,,,,,
,28365,1,岬 なこ,ちいさな蕾,堀内まり菜,Glitter,,,,
,28379,1,シカ部,シカ色デイズ,鹿乃子のこ(CV.潘めぐみ)、虎視虎子(CV.藤田咲),シカせんべいのうた,,,,
,28392,1,水曜日のカンパネラ,赤猫,離婚伝説,本日のおすすめ,,,,
,28406,1,手羽先センセーション,ゆるリング Travel days,ゴホウビ,MAKUAKE,,,,
,28420,1,山崎育三郎,クランクアップ,Amber’s,Unchain×Unchain,,,,
,28434,1,ゴホウビ,ブラウス,七倉 凛（CV：早見沙織）,アドリブ,,,,
,28448,1,SennaRin,dust,SennaRin,melt,,,,
,28462,1,PoMPoMs,Cheer for you!,PoMPoMs,with,PoMPoMs,YOU for YOU,,
,28475,1,小玉ひかり,チャージ！,アーリオ・オーリオ・エ・ペペロンチーノ,なっちゃった！,,,,
,28489,1,NiziU,RISE UP,NiziU,BELIEVE,,,,
,28502,1,GLAY,会心ノ一撃,BAND-MAID,Protect You,,,,
,28517,1,布袋寅泰,Another World,Mori Calliope,Go-Getters,,,,
,28529,1,串田アキラ,荒野に咲けよ冒険者たち,藤川千愛,さがしもの,,,,
,28543,1,りぶ(CV.ファイルーズあい)、苺子(CV.伊藤ゆいな)、譜風(CV.羊宮妃那)、十景(CV.上田瞳)、ゆき(CV.茅野愛衣),ギミギミ,真咲(CV.長谷川育美),編集点,,,,
,28557,1,くじら,我がまま,くじら,あれが恋だったのかな feat. にしな,,,,
,28571,1,高梨康治×FLOW,LOVE & JUSTICE,キン肉マン（CV:宮野真守）,超人,,,,
,28585,1,原因は自分にある。,P-P-P-PERO,,,エンドオブザワールド（CV:青山 吉能）,あなたが私のエグミレガシー,,
,28599,1,DISH//,プランA,ぼっちぼろまる,鎌倉STYLE,,,,
