,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください
,1354,yoruhashi,,,anime,
,1355,元永 慶太郎,,,anime,
,1356,逆井 卓馬,,,anime,
,1357,遠坂 あさぎ,,,anime,
,1358,高橋 雅之,,,anime,
,1359,一色 一凛,,,anime,
,1360,柳沢 テツヤ,,,anime,
,1361,椎名 ほわほわ,,,anime,
,1362,中澤 勇一,,,anime,
,1363,いのり。,,,anime,
,1364,花ヶ田,,,anime,
,1365,青乃下,,,anime,
,1366,柳野 かなた,,,anime,
,1367,輪 くすさが,,,anime,
,1368,岩永 彰,,,anime,
,1369,髙橋 龍也,,,anime,
,1370,梧桐 翔大,,,anime,
,1371,戸塚 慶文,,,anime,
,1372,八瀬 祐樹,,,anime,
,1373,天野 明,,,anime,
,1374,及川 啓,,,anime,
,1375,小林 大樹,,,anime,
,1376,高橋 賢,,,anime,
,1377,いちかわ 暖,,,anime,
,1378,佐野 菜見,,,anime,
,1379,蝸牛 くも,,,anime,
,1380,尾崎 隆晴,,,anime,
,1381,髙田 美里,,,anime,
,1382,倉田 英之,,,anime,
,1383,しげの 秀一,,,anime,
,1384,中 智仁,,,anime,
,1385,山下 憲一,,,anime,
,1386,稲荷 明比古,,,anime,
,1387,門司 柿家,,,anime,
,1388,もりたけし,,,anime,
,1389,村田 尚樹,,,anime,
,1390,toi8,,,anime,
,1391,若木 民喜,,,anime,
,1392,みつみ 美里,,,anime,
,1393,甘露 樹,,,anime,
,1394,佐久間 貴史,,,anime,
,1395,ヒロユキ,,,anime,
,1396,桑原 智,,,anime,
,1397,鈴木 孝聡,,,anime,
,1398,大知 慶一郎,,,anime,
,1399,犬飼 和彦,,,anime,
,1400,高山 カツヒコ,,,anime,
,1401,山本 靖貴,,,anime,
,1402,加藤 大志,,,anime,
,1403,花沢 健吾,,,anime,
,1404,ピロヤ,,,anime,
,1405,実樹 ぶきみ,,,anime,
,1406,安藤 正臣,,,anime,
,1407,中西 やすひろ,,,anime,
,1408,藤沢 志月,,,anime,
,1409,東堂 いづみ,,,anime,
,1410,鈴木 央,,,anime,
,1411,岡村 天斎,,,anime,
,1412,小平 麻紀,,,anime,
,1413,劉 思文,,,anime,
,1414,渡邉 祐記,,,anime,
,1415,曽田 正人,,,anime,
,1416,冨山 玖呂,,,anime,
,1417,むらた 雅彦,,,anime,
,1418,あおき えい,,,anime,
,1419,安藤 尚也,,,anime,
,1420,伊神 貴世,,,anime,
,1421,駒屋 健一郎,,,anime,
,1422,モティカ,,,anime,
,1423,みうら さぶろう,,,anime,
,1424,あいだ いろ,,,anime,
,1425,北村 真咲,,,anime,
,1426,中西 伸彰,,,anime,
,1427,和久井 健,,,anime,
,1428,初見 浩一,,,anime,
,1429,錦織 敦史,,,anime,
,1430,綿田 慎也,,,anime,
,1431,ふか田 さめたろう,,,anime,
,1432,浅見 隆司,,,anime,
,1433,富野 由悠季,,,anime,
,1434,はつはる,,,anime,
,1435,高本 宣弘,,,anime,
,1436,平見 瞠,,,anime,
,1437,冨田 頼子,,,anime,
,1438,大熊 らすこ,,,anime,
,1439,かおり,,,anime,
,1440,零子还有钞,,,anime,
,1441,呆尾,,,anime,
,1442,小榕,,,anime,
,1443,栗子,,,anime,
,1444,徐碧君,,,anime,
,1445,黄麗瑛,,,anime,
,1446,古流 望,,,anime,
,1447,吾峠 呼世晴,,,anime,
,1448,甲本 一,,,anime,
,1449,高橋陽一,,,anime,
,1450,高松 美咲,,,anime,
,1451,斎 創,,,anime,
,1452,三川 みり,,,anime,
,1453,三木 なずな,,,anime,
,1454,山川 直輝,,,anime,
,1455,山田 ヒツジ,,,anime,
,1456,山田 胡瓜,,,anime,
,1457,志倉 千代丸,,,anime,
,1458,七尾 ナナキ,,,anime,
,1459,朱白あおい,,,anime,
,1460,渋谷 陽一,,,anime,
,1461,春場 ねぎ,,,anime,
,1462,新木 伸,,,anime,
,1463,澄守 彩,,,anime,
,1464,瀬尾 公治,,,anime,
,1465,青崎 有吾,,,anime,
,1466,赤坂 アカ,,,anime,
,1467,雪森 寧々,,,anime,
,1468,竹岡 葉月,,,anime,
,1469,竹町,,,anime,
,1470,中尾 浩之,,,anime,
,1471,昼熊,,,anime,
,1472,朝霧 カフカ,,,anime,
,1473,天壱,,,anime,
,1474,藤井おでこ,,,anime,
,1475,藤近小梅,,,anime,
,1476,奈須きのこ,,,anime,
,1477,弐瓶 勉,,,anime,
,1478,春河 35,,,anime,
,1479,畑 健二郎,,,anime,
,1480,トマリ,,,anime,
,1481,樋口 彰彦,,,anime,
,1482,武田 綾乃,,,anime,
,1483,麻生 羽呂,,,anime,
,1484,夜州,,,anime,
,1485,矢吹 健太朗,,,anime,
,1486,月岡 月穂,,,anime,
,1487,和月 伸宏,,,anime,
,1488,和武 はざの,,,anime,
,1489,ペーター・ミツル,,,anime,
,1490,ましろ,,,anime,
,1491,みやうち 沙矢,,,anime,
,1492,ヨコオタロウ,,,anime,
,1493,阿久井 真,,,anime,
,1494,安野 モヨコ,,,anime,
,1495,一汪空气,,,anime,
,1496,宇野 朴人,,,anime,
,1497,顎木 あくみ,,,anime,
,1498,鴨志田 一,,,anime,
,1499,吉岡 公威,,,anime,
,1500,久追 遥希,,,anime,
,1501,久保 帯人,,,anime,
,1502,宮島 礼吏,,,anime,
,1503,暁 なつめ,,,anime,
,1504,近藤 憲⼀,,,anime,
,1505,イケダ ケイ,,,anime,
,1506,イケハヤ,,,anime,
,1507,HERO,,,anime,
,1508,toufu,,,anime,
,1509,ブロッコリーライオン,,,anime,
,1510,オニグンソウ,,,anime,
,1511,イノウエ,,,anime,
,1512,スバルイチ,,,anime,
,1513,このえ,,,anime,
,1514,高田 康太郎,,,anime,
,1515,萩原 ダイスケ,,,anime,
,1516,Tiv,,,anime,
,1517,konomi,,,anime,
,1518,森沢 晴行,,,anime,
,1519,あき,,,anime,
,1520,秋風 緋色,,,anime,
,1521,幸奈 ふな,,,anime,
,1522,sime,,,anime,
,1523,えんどう てつや,,,anime,
,1524,サトウ 光敏,,,anime,
,1525,ひらさわ ひさよし,,,anime,
,1526,ラレコ,,,anime,
,1527,安藤 裕章,,,anime,
,1528,安部 祐二郎,,,anime,
,1529,安齋 剛文,,,anime,
,1530,井上 圭介,,,anime,
,1531,稲葉 友紀,,,anime,
,1532,宇根 信也,,,anime,
,1533,羽原 信義,,,anime,
,1534,益山 亮司,,,anime,
,1535,榎戸 駿,,,anime,
,1536,加藤 敏幸,,,anime,
,1537,河原 真明,,,anime,
,1538,外崎 春雄,,,anime,
,1539,柿本 広大,,,anime,
,1540,鬼塚 大輔,,,anime,
,1541,亀井 隆,,,anime,
,1542,久城 りおん,,,anime,
,1543,久保田 雄大,,,anime,
,1544,宮本 幸裕,,,anime,
,1545,京極 尚彦,,,anime,
,1546,玉川 真人,,,anime,
,1547,金崎 貴臣,,,anime,
,1548,月見里 智弘,,,anime,
,1549,古賀 一臣,,,anime,
,1550,五十嵐 卓哉,,,anime,
,1551,工藤 進,,,anime,
,1552,佐藤 雄三,,,anime,
,1553,佐藤 竜雄,,,anime,
,1554,山口 祐司,,,anime,
,1555,山本 秀世,,,anime,
,1556,秋田谷 典昭,,,anime,
,1557,出合 小都美,,,anime,
,1558,小林 寛,,,anime,
,1559,松根 マサト,,,anime,
,1560,松本 淳,,,anime,
,1561,新田 典生,,,anime,
,1562,森 賢,,,anime,
,1563,秦 鶴陽,,,anime,
,1564,菅沼 栄治,,,anime,
,1565,瀬下 寛之,,,anime,
,1566,青木 弘安,,,anime,
,1567,石原 立也,,,anime,
,1568,石浜 真史,,,anime,
,1569,川越 一生,,,anime,
,1570,川口 敬一郎,,,anime,
,1571,浅香 守生,,,anime,
,1572,増井 壮一,,,anime,
,1573,則座 誠,,,anime,
,1574,大野 悟,,,anime,
,1575,濁川 敦,,,anime,
,1576,中村 憲由,,,anime,
,1577,中谷 亜沙美,,,anime,
,1578,田口 智久,,,anime,
,1579,田中 智也,,,anime,
,1580,能戸 隆,,,anime,
,1581,畠山 守,,,anime,
,1582,板垣 伸,,,anime,
,1583,富野 喜幸,,,anime,
,1584,武田 睦海,,,anime,
,1585,平牧 大輔,,,anime,
,1586,野中 晶史,,,anime,
,1587,野呂 純恵,,,anime,
,1588,鈴木 洋平,,,anime,
,1589,和田 淳,,,anime,
,1590,楪 エマ,,,anime,
,1591,箙 みちる,,,anime,
,1592,钟鸣,,,anime,
,1593,髙木 啓明,,,anime,
,1594,木内 秀信,,,anime,
,1595,柊 優花,,,anime,
,1596,嶋野 花,,,anime,
,1597,吉岡 茉祐,,,anime,
,1598,内藤 騎之介,,,anime,
,1599,やすも,,,anime,
,1600,倉谷 涼一,,,anime,
,1601,浅井 義之,,,anime,
,1602,Roy,,,anime,
,1603,広瀬 ゆうき,,,anime,
,1604,清川 元夢,,,anime,
,1605,久保田 梨沙,,,anime,
,1606,山田 由香,,,anime,
,1607,岡田 邦彦,,,anime,
,1608,河本 ほむら,,,anime,
,1609,武野 光,,,anime,
,1610,和田 純一,,,anime,
,1611,榎本 快晴,,,anime,
,1612,しゅがお,,,anime,
,1613,李 家傑,,,anime,
,1614,礒部 花凜,,,anime,
,1615,相羽 あいな,,,anime,
,1616,河野 ひより,,,anime,
,1617,張丹,,,anime,
,1618,青耶木 まゆ,,,anime,
,1619,緒方 賢一,,,anime,
,1620,島田 岳洋,,,anime,
,1621,オグロ アキラ,,,anime,
,1622,海法 紀光,,,anime,
,1623,雪野 五月,,,anime,
,1624,内藤 泰弘,,,anime,
,1625,鶴 ひろみ,,,anime,
,1626,西村 聡,,,anime,
,1627,あんどう さくら,,,anime,
,1628,松田 賢二,,,anime,
,1629,TARAKO,,,anime,
,1630,池田 純矢,,,anime,
,1631,武藤 健司,,,anime,
,1632,武井 克弘,,,anime,
,1633,稲本 達郎,,,anime,
,1634,岡嶋 心,,,anime,
,1635,ナナシ,,,anime,
,1636,ウシロ シンジ,,,anime,
,1637,盆ノ木 至,,,anime,
,1638,神志那 弘志,,,anime,
,1639,鷹目 利,,,anime,
,1640,藤森 雅也,,,anime,
,1641,虚淵 玄,,,anime,
,1642,大樹 連司,,,anime,
,1643,熊可,,,anime,
,1644,梁莎,,,anime,
,1645,壤 晴彦,,,anime,
,1646,佐藤 英一,,,anime,
,1647,涼村 千夏,,,anime,
,1648,大西 信介,,,anime,
,1649,田中 昂,,,anime,
,1650,安齋 由香里,,,anime,
,1651,三浦 千幸,,,anime,
,1652,村岡 ユウ,,,anime,
,1653,荻原 健,,,anime,
,1654,南 央美,,,anime,
,1655,吉田 古奈美,,,anime,
,1656,秋田 禎信,,,anime,
,1657,わたなべ ひろし,,,anime,
,1658,草河 遊也,,,anime,
,1659,水野 まりえ,,,anime,
,1660,村井 さだゆき,,,anime,
,1661,山田 哲弥,,,anime,
,1662,渋谷 慧,,,anime,
,1663,kayto,,,anime,
,1664,萩谷 慧悟,,,anime,
,1665,桐本 拓哉,,,anime,
,1666,イムガヒ,,,anime,
,1667,北見 六花,,,anime,
,1668,八神 仙,,,anime,
,1669,暁 あいり,,,anime,
,1670,白上 奏,,,anime,
,1671,櫻井 ありす,,,anime,
,1672,ギリギリ 舞,,,anime,
,1673,ゆうき まりも,,,anime,
,1674,山口 諒太郎,,,anime,
,1675,平井 亜門,,,anime,
,1676,助川 真蔵,,,anime,
,1677,森蔭 晨之介,,,anime,
,1678,坂田 隆一郎,,,anime,
,1679,masa,,,anime,
,1680,下前 祐貴,,,anime,
,1681,馬越 琢己,,,anime,
,1682,坪倉 康晴,,,anime,
,1683,高本 学,,,anime,
,1684,牛嶋 新一郎,,,anime,
,1685,三村 遙佳,,,anime,
,1686,志崎 樺音,,,anime,
,1687,倉知 玲鳳,,,anime,
,1688,前島 亜美,,,anime,
,1689,佐藤 日向,,,anime,
,1690,水島 精二,,,anime,
,1691,反田 葉月,,,anime,
,1692,深川 瑠華,,,anime,
,1693,渡瀬 結月,,,anime,
,1694,入江 麻衣子,,,anime,
,1695,七木 奏音,,,anime,
,1696,鈴木 大介,,,anime,
,1697,ほりうち ゆうや,,,anime,
,1698,菊池 カツヤ,,,anime,
,1699,中村 倫也,,,anime,
,1700,yuka,,,anime,
,1701,東出 祐一郎,,,anime,
,1702,綾奈 ゆにこ,,,anime,
,1703,山田 章博,,,anime,
,1704,堀川 亮,,,anime,
,1705,橋本 晃一,,,anime,
,1706,堀 秀行,,,anime,
,1707,潘 恵子,,,anime,
,1708,山本 百合子,,,anime,
,1709,宮内 幸平,,,anime,
,1710,車田 正美,,,anime,
,1711,旗野 義文,,,anime,
,1712,川田 万寿,,,anime,
,1713,横山 和夫,,,anime,
,1714,加藤 守啓,,,anime,
,1715,三浦 祥朗,,,anime,
,1716,江川 央生,,,anime,
,1717,田中 亮一,,,anime,
,1718,田中 秀幸,,,anime,
,1719,三ツ矢 雄二,,,anime,
,1720,芦野 芳晴,,,anime,
,1721,島本 須美,,,anime,
,1722,江副 仁美,,,anime,
,1723,待田 堂子,,,anime,
,1724,小林 沙苗,,,anime,
,1725,鈴木 龍太郎,,,anime,
,1726,佐久間 大介,,5,anime,
,1727,中西 豪,,,anime,
,1728,冲方 丁,,,anime,
,1729,叶 思華,,,anime,
,1730,守屋 亨香,,,anime,
,1731,二又 一成,,,anime,
,1732,今井 耕二,,,anime,
,1733,大下 昌之,,,anime,
,1734,福森 加織,,,anime,
,1735,奈日抽 ねね,,,anime,
,1736,小林 清志,,,anime,
,1737,梅津 智史,,,anime,
,1738,飯塚 貴士,,,anime,
,1739,キムラ,,,anime,
,1740,じん,,,anime,
,1741,ハヤシ ナオキ,,,anime,
,1742,芦野 里実,,,anime,
,1743,ヤスカワ ショウゴ,,,anime,
,1744,佐藤 進哉,,,anime,
,1745,横谷 昌宏,,,anime,
,1746,王鋳,,,anime,
,1747,吉岡 たかを,,,anime,
,1748,金月 龍之介,,,anime,
,1749,元村 洸一,,,anime,
,1750,高橋 悠也,,,anime,
,1751,佐藤 亜美,,,anime,
,1752,細川 徹,,,anime,
,1753,三浦 有為子,,,anime,
,1754,小川 ひとみ,,,anime,
,1755,水月 秋,,,anime,
,1756,大河内 一楼,,,anime,
,1757,大東 大介,,,anime,
,1758,内田 沙矢子,,,anime,
,1759,八薙 玉造,,,anime,
,1760,邓皓,,,anime,
,1761,岩浪 美和,,,anime,
,1762,下山 健人,,,anime,
,1763,角 学,,,anime,
,1764,後藤 みどり,,,anime,
,1765,森田 眞由美,,,anime,
,1766,蒼樹 靖子,,,anime,
,1767,大西 雄仁,,,anime,
,1768,田辺 茂範,,,anime,
,1769,木原 梨花,,,anime,
,1770,樊夢丹,,,anime,
,1771,张喆,,,anime,
,1772,横峯 克昌,,,anime,
,1773,坂詰 嵩仁,,,anime,
,1774,松浦 直紀,,,anime,
,1775,浅見 松雄,,,anime,
,1776,池端 隆史,,,anime,
,1777,釣井 省吾,,,anime,
,1778,田辺 慎吾,,,anime,
,1779,馬引 圭,,,anime,
,1780,三嶋 くろね,,,anime,
,1781,朝基 まさし,,,anime,
,1782,田口 ケンジ,,,anime,
,1783,半月板損傷,,,anime,
,1784,小村 哲生,,,anime,
,1785,三野 雄大,,,anime,
,1786,髙橋 耕次郎,,,anime,
,1787,水内 清光,,,anime,
,1788,大西 健晴,,,anime,
,1789,朝比奈 拓見,,,anime,
,1790,一条 和矢,,,anime,
,1791,南 勝久,,,anime,
,1792,髙橋 良輔,,,anime,
,1793,高島 雄哉,,,anime,
,1794,にい さとる,,,anime,
,1795,赤井 俊文,,,anime,
,1796,二月 公,,,anime,
,1797,さばみぞれ,,,anime,
,1798,鬼ノ城 ミヤ,,,anime,
,1799,片桐,,,anime,
,1800,糸町 秋音,,,anime,
,1801,峯田 茉優,,,anime,
,1802,菅沼 千紗,,,anime,
,1803,八巻 アンナ,,,anime,
,1804,希水 しお,,,anime,
,1805,結名 美月,,,anime,
,1806,涼本 あきほ,,,anime,
,1807,黒木 ほの香,,,anime,
,1808,西尾 維新,,,anime,
,1809,メル。,,,anime,
,1810,熊田 茜音,,,anime,
,1811,結川 あさき,,,anime,
,1812,比嘉 良介,,,anime,
,1813,浦山 迅,,,anime,
,1814,noho,,,anime,
,1815,山内 愛弥,,,anime,
,1816,子安 光樹,,,anime,
,1817,紅月 シン,,,anime,
,1818,ちょこ庵,,,anime,
,1819,藤村 俊二,,,anime,
,1820,矢作 紗友里,,,anime,
,1821,篠原 俊哉,,,anime,
,1822,岩田 幹宏,,,anime,
,1823,清水 博之,,,anime,
,1824,丸山 博雄,,,anime,
,1825,枢 やな,,,anime,
,1826,渡部 俊樹,,,anime,
,1827,岡田 堅二朗,,,anime,
,1828,片岡 あづさ,,,anime,
,1829,米澤 円,,,anime,
,1830,近藤 隆,,,anime,
,1831,千葉 進歩,,,anime,
,1832,早水 リサ,,,anime,
,1833,くまい もとこ,,,anime,
,1834,中嶋 アキ,,,anime,
,1835,藤寺 美徳,,,anime,
,1836,平塚 紗依,,,anime,
,1837,日比 優理香,,,anime,
,1838,藤咲 淳一,,,anime,
,1839,山口 健太郎,,,anime,
,1840,遠山 えま,,,anime,
,1841,森井 ケンシロウ,,,anime,
,1842,森野 萌,,,anime,
,1843,牧野 友映,,,anime,
,1844,竹内 栄治,,,anime,
,1845,白熊 寛嗣,,,anime,
,1846,清水 はる香,,,anime,
,1847,阿部 智里,,,anime,
,1848,京極 義昭,,,anime,
,1849,山室 有紀子,,,anime,
,1850,高宮 彩織,,,anime,
,1851,日野 トミー,,,anime,
,1852,森 もり子,,,anime,
,1853,新海 岳人,,,anime,
,1854,鵜飼 浩史,,,anime,
,1855,夏川 椎菜,,,anime,
,1856,権平 ひつじ,,,anime,
,1857,李 豪凌,,,anime,
,1858,盆子原 康,,,anime,
,1859,陶山 章央,,,anime,
,1860,折笠 雄一,,,anime,
,1861,髙橋 幹子,,,anime,
,1862,はやし りか,,,anime,
,1863,青森 伸,,,anime,
,1864,有馬 瑞香,,,anime,
,1865,舞羽 美海,,,anime,
,1866,山内 健嗣,,,anime,
,1867,高野 憲太朗,,,anime,
,1868,関根 有咲,,,anime,
,1869,小橋 里美,,,anime,
,1870,かわさき 健,,,anime,
,1871,オ ジング,,,anime,
,1872,丹羽 哲士,,,anime,
,1873,金 正賢,,,anime,
,1874,乙川 将志,,,anime,
,1875,大野 敏哉,,,anime,
,1876,Yostar Pictures,,,anime,
,1877,納谷 悟朗,,,anime,
,1878,富山 敬,,,anime,
,1879,青野 武,,,anime,
,1880,麻上 洋子,,,anime,
,1881,仲村 秀生,,,anime,
,1882,野村 信次,,,anime,
,1883,山下 敬介,,,anime,
,1884,安原 義人,,,anime,
,1885,西崎 義展,,,anime,
,1886,松本 零士,,,anime,
,1887,藤川 桂介,,,anime,
,1888,田村 丸,,,anime,
,1889,天田 益男,,,anime,
,1890,安田 賢司,,,anime,
,1891,岡 秀樹,,,anime,
,1892,あfろ,,,anime,
,1893,天野 心愛,,,anime,
,1894,松田 利冴,,,anime,
,1895,登坂 晋,,,anime,
,1896,細田 健太,,,anime,
,1897,菅野 真衣,,,anime,
,1898,金斬 児狐 ,,,anime,
,1899,ヤマーダ,,,anime,
,1900,NAJI 柳田,,,anime,
,1901,イナガキ タカユキ,,,anime,
,1902,菱川 花菜,,,anime,
,1903,手島 史詞,,,anime,
,1904,COMTA,,,anime,
,1905,石踊 宏,,,anime,
,1906,支倉 凍砂,,,anime,
,1907,文倉 十,,,anime,
,1908,高橋 丈夫,,,anime,
,1909,荒川 稔久,,,anime,
,1910,高松 信司,,,anime,
,1911,春日森 春木,,,anime,
,1912,入江 玲於奈,,,anime,
,1913,濱 健人,,,anime,
,1914,泰 勇気,,,anime,
,1915,粕谷 雄太,,,anime,
,1916,末満 健一,,,anime,
,1917,小笠原 早紀,,,anime,
,1918,佐島 勤,,,anime,
,1919,石田 可奈,,,anime,
,1920,ジミー ストーン,,,anime,
,1921,中本 宗応,,,anime,
,1922,川村 海乃,,,anime,
,1923,葵 あずさ,,,anime,
,1924,石山 タカ明,,,anime,
,1925,北守 さいか,,,anime,
,1926,秋,,,anime,
,1927,しずま よしのり,,,anime,
,1928,田村 正文,,,anime,
,1929,いちかわ 壱,,,anime,
,1930,理名,,6,anime,
,1931,夕莉,,6,anime,
,1932,美怜,,6,anime,
,1933,凪都,,6,anime,
,1934,朱李,,6,anime,
,1935,中村 桜,,,anime,
,1936,森永 彩斗,,,anime,
,1937,露崎 亘,,,anime,
,1938,葉山 いずみ,,,anime,
,1939,丘邑 やち代,,,anime,
,1940,久保 洋祐,,,anime,
,1941,うもと ゆーじ,,,anime,
,1942,佐藤 舞,,,anime,
,1943,ぴっちょりーな,,,anime,
,1944,樋渡 昇一郎,,,anime,
,1945,ハシモト コーキ,,,anime,
,1946,堀越 耕平,,,anime,
,1947,長崎 健司,,,anime,
,1948,中山 奈緒美,,,anime,
,1949,matoba,,,anime,
,1950,大西 健太,,,anime,
,1951,河本 啓佑,,,anime,
,1952,松本 直也,,,anime,
,1953,宮 繁之,,,anime,
,1954,神谷 友美,,,anime,
,1955,藤村 歩,,,anime,
,1956,家弓 家正,,,anime,
,1957,矢島 正明,,,anime,
,1958,城 アラキ,,,anime,
,1959,長友 健篩,,,anime,
,1960,渡辺 正樹,,,anime,
,1961,今川 泰宏,,,anime,
,1962,江 南,,,anime,
,1963,王 昕,,,anime,
,1964,竹下 良平,,,anime,
,1965,JELEE,,,anime,
,1966,星 祐樹,,,anime,
,1967,風波 しのぎ,,,anime,
,1968,魔界の住民,,,anime,
,1969,ＫｅＧ,,,anime,
,1970,中津 環,,,anime,
,1971,比留間 俊哉,,,anime,
,1972,根本 優奈,,,anime,
,1973,竹嶋 えく,,,anime,
,1974,真野 玲,,,anime,
,1975,うえだ ゆうじ,,,anime,
,1976,吉村 那奈美,,,anime,
,1977,マックスウェル・パワーズ,,,anime,
,1978,池添 隆博,,,anime,
,1979,村井 雄治,,,anime,
,1980,渡辺 紘,,,anime,
,1981,石井 未紗,,,anime,
,1982,ユージン ソン,,,anime,
,1983,難波 圭一,,,anime,
,1984,未来人A,,,anime,
,1985,jimmy,,,anime,
,1986,加戸 誉夫,,,anime,
,1987,佳穂 成美,,,anime,
,1988,くじら,,,anime,
,1989,理不尽な孫の手,,,anime,
,1990,シロタカ,,,anime,
,1991,原田 彩楓,,,anime,
,1992,石飛 恵里花,,,anime,
,1993,山岸 大悟,,,anime,
,1994,柊 三太,,,anime,
,1995,春 男児,,,anime,
,1996,花杜 めい,,,anime,
,1997,香純 秋,,,anime,
,1998,志雄 子奨,,,anime,
,1999,結城 アオ,,,anime,
,2000,あきこんち,,,anime,
,2001,真野 美月,,,anime,
,2002,平坂 読,,,anime,
,2003,カントク,,,anime,
,2004,佐藤 まさふみ,,,anime,
,2005,松本 慶祐,,,anime,
,2006,末吉 太平,,,anime,
,2007,遠藤 純一,,,anime,
,2008,細音 啓,,,anime,
,2009,智瀬 といろ,,,anime,
,2010,白石 達也,,,anime,
,2011,水島 努,,,anime,
,2012,久遠 エリサ,,,anime,
,2013,柳田 淳一,,,anime,
,2014,古宮 九時,,,anime,
,2015,chibi,,,anime,
,2016,三浦 和也,,,anime,
,2017,内田 夕夜,,,anime,
,2018,ぬじま,,,anime,
,2019,望月 智充,,,anime,
,2020,西田 雅一,,,anime,
,2021,富樫 美鈴,,,anime,
,2022,野水 伊織,,,anime,
,2023,真田 アサミ,,,anime,
,2024,佐土原 かおり,,,anime,
,2025,味里,,,anime,
,2026,勝 杏里,,,anime,
,2027,橘 公司,,,anime,
,2028,つなこ,,,anime,
,2029,影山 灯,,,anime,
,2030,中川 淳,,,anime,
,2031,みかわ 絵子,,,anime,
,2032,中園 真登,,,anime,
,2033,櫻井 智,,,anime,
,2034,新挑 限,,,anime,
,2035,西田 正義,,,anime,
,2036,山口 太郎,,,anime,
,2037,藤本 タツキ,,,anime,
,2038,はまじ あき,,,anime,
,2039,吉田 恵里香,,,anime,
,2040,棚架 ユウ,,,anime,
,2041,中山 竜,,,anime,
,2042,大今 良時,,,anime,
,2043,樽戸 アキ,,,anime,
,2044,しょぼんぬ,,,anime,
,2045,姐川,,,anime,
,2046,ながはま のりひこ,,,anime,
,2047,向井 雅浩,,,anime,
,2048,高橋 秀弥,,,anime,
,2049,木村 奏大,,,anime,
,2050,青山 穣,,,anime,
,2051,福原 遥,,,anime,
,2052,新房 昭之,,,anime,
,2053,ジェーニャ,,,anime,
,2054,那多ここね,,,anime,
,2055,永瀬 さらさ,,,anime,
,2056,紫 真依,,,anime,
