,,,,,,,
,id,ネット配信名,マイクロコピー,,リンク先,ロゴイメージ,Custom Microcopy
,id,name,microcopy,,url,,
,1,DMM TV,14日間無料！,"Watch ""$Title$"" for free for 14 days!",https://t.afi-b.com/visit.php?a=514357d-F472921c&p=U942616h,,
,2,WOWOWオンデマンド,映画・スポーツ・海外ドラマも配信中！,,https://t.afi-b.com/visit.php?a=E14702c-e481058r&p=U942616h,,
,3,ABEMAプレミアム,580円で見放題！,,https://t.afi-b.com/visit.php?a=311369K-4380786f&p=U942616h,,
,4,Hulu,"1,026円で見放題！",,https://t.afi-b.com/visit.php?a=G8792C-G371062S&p=U942616h,,
,5,dアニメストア,初月無料！,,https://animestore.docomo.ne.jp/animestore/tp/,,
,6,dアニメストア ニコニコ支店,名作から放送中の新作まで見放題！,,https://site.nicovideo.jp/danime/,,
,7,dアニメストア for Prime Video,名作から放送中の新作まで見放題！,,https://www.amazon.co.jp/gp/video/offers?benefitId=danime,,
,8,スカパー！番組配信,アニメ・映画・スポーツなどを配信中！,,https://www.skyperfectv.co.jp/service/ott-guide/,,
,9,Amazon Prime Video,オリジナル作品や独占配信も多数！,,https://t.afi-b.com/visit.php?a=915733P-v511671N&p=U942616h,,
,10,Disney+（ディズニープラス）,独占配信作品がいっぱい！,,https://t.afi-b.com/visit.php?a=f13226g-g453171h&p=U942616h,,
,11,ABEMA,無料動画・話題の作品が楽しめる！,,https://abema.tv/,,
,12,TVer,ドラマ・バラエティの見逃し配信なら！,,https://tver.jp/,,
,13,TBS FREE,TBSの新ドラマ・TV番組を無料で見逃し配信！,,https://cu.tbs.co.jp/,,
,14,FOD,アニメ・ドラマのほか、オリジナル作品も配信中！,,https://fod.fujitv.co.jp/register,,
,15,ネットもテレ東,テレビ東京の人気番組動画を配信！,,https://video.tv-tokyo.co.jp/,,
,16,カンテレドーガ,映画・ドラマ・韓流まで約21万本の作品を配信！,,https://ktv-smart.jp/,,
,17,MBS動画イズム,人気の関西バラエティから話題のドラマ・アニメも配信！,,https://dizm.mbs.jp/,,
,18,ytv MyDo!,読売テレビの番組の見逃し配信なら！,,https://www.ytv.co.jp/mydo/,,
,19,NHKプラス,NHK総合・Eテレの番組を放送と同時に配信！,,https://plus.nhk.jp/info/,,
,20,NHKオンデマンド,NHK総合・Eテレの番組の見逃し配信なら！,,https://www.nhk-ondemand.jp/#/0/,,
,21,J:COM STREAM,名作から最新の話題作まで見放題！,,https://www.jcom.co.jp/guide/starter/tv/,,
,22,Lemino,映画やドラマ、アニメ、ライブが楽しめる！,,https://lemino.docomo.ne.jp/,,
,23,みるplus,新作映画や話題のドラマをいつでも！,,https://lp.milplus.jp/,,
,24,Netflix,人気のドラマやアニメ、オリジナル作品まで！,,https://www.netflix.com/jp/,,
,25,TELASA,ドラマ・バラエティ・アニメ・映画が見放題！,,https://navi.telasa.jp/,,
,26,TELASA（auスマートパスプレミアム）,ドラマ・バラエティ・アニメ・映画が見放題！,,https://navi.telasa.jp/,,
,27,U-NEXT,ドラマやバラエティのほか、マンガやラノベも！,,https://video.unext.jp/,,
,28,WOWOWオンデマンド,,,,,※使用不可
,29,アニメタイムズ,講談社・集英社・小学館などの人気アニメを配信！,,https://animetimes.co.jp/,,
,30,アニメ放題,4600作品以上のアニメが高画質で見放題！,,https://www.animehodai.jp/,,
,31,バンダイチャンネル,月額1100円で対象の作品が見放題！,,https://www.b-ch.com/,,
,32,Google TV,40万本以上の映画やテレビ作品を配信！,,https://tv.google/intl/ja_jp/,,
,33,Apple TV+,すべてAppleオリジナル作品！,,https://www.apple.com/jp/apple-tv-plus/,,
,34,YouTube,世界最大級の動画プラットフォーム！,,https://m.youtube.com/?hl=ja,,
,35,HAPPY!動画,最新アニメ・映画・ドラマを配信中！,,https://a.happydouga.jp/web/index.php,,
,36,music.jp,最新の音楽・マンガ・電子書籍・動画を配信中！,,https://music-book.jp/,,
,37,Rakuten TV,25万本以上の動画コンテンツを配信！,,https://tv.rakuten.co.jp/,,
,38,VIDEX,1作品からレンタル可能！,,https://www.videx.jp/,,
,39,ニコニコチャンネル,人気配信者の生放送を視聴可能！,,https://ch.nicovideo.jp/,,
,40,ビデオマーケット,無料動画や見放題動画も充実のラインナップ！,,https://www.videomarket.jp/,,
,41,ムービーフルPlus,期間限定の無料動画あり！,,https://mfplus.jp/,,
,42,DAZN,スポーツのライブ・ハイライトなら！,,https://www.dazn.com/ja-JP/home,,
,43,スカパー！番組配信,,,,,※使用不可
,44,SPOOX,30日間無料トライアル実施中！,,https://spoox.skyperfectv.co.jp/,,
,45,ひかりTV,80以上の専門チャンネルと約19万本のオンデマンド動画！,,https://www.hikaritv.net/,,